,noise_position_moving,noise_collision_direction,noise_collision_elasticity,epsilon,rmse,r
285,15.0,0.6000000000000001,0.1,0.2,0.07833036429243835,0.9786839030408178
286,15.0,0.7000000000000001,0.1,0.2,0.07895949215590266,0.9785059208727053
287,15.0,0.8,0.1,0.15000000000000002,0.0836254095288856,0.9762408886672347
288,0.0,0.0,0.2,0.2,0.09527189242192619,0.9676739788821288
289,0.0,0.1,0.2,0.2,0.09192822715550676,0.9700519764082178
290,0.0,0.2,0.2,0.1,0.09067413518123632,0.9770264908889593
291,0.0,0.30000000000000004,0.2,0.2,0.09283637842268029,0.9694296265634333
292,0.0,0.4,0.2,0.2,0.08676922314185882,0.9744014508911227
293,0.0,0.5,0.2,0.2,0.09872886694570902,0.9652430954249438
294,0.0,0.6000000000000001,0.2,0.15000000000000002,0.08906518372647507,0.9728907126495896
295,0.0,0.7000000000000001,0.2,0.2,0.08316875894633695,0.9752176717692863
296,0.0,0.8,0.2,0.2,0.08344598557803742,0.975392989139561
297,1.0,0.0,0.2,0.1,0.09773598909110456,0.9748620629863061
298,1.0,0.1,0.2,0.2,0.08091504185512478,0.9770015632696614
299,1.0,0.2,0.2,0.2,0.0833542596260343,0.9752507831951807
300,1.0,0.30000000000000004,0.2,0.2,0.083190567373493,0.9753775927112911
301,1.0,0.4,0.2,0.1,0.09794753761125986,0.9729433762784728
302,1.0,0.5,0.2,0.2,0.08020437807546028,0.9784974110207936
303,1.0,0.6000000000000001,0.2,0.2,0.08271248373280185,0.9757905449160093
304,1.0,0.7000000000000001,0.2,0.2,0.07792317360229982,0.9793677076656963
305,1.0,0.8,0.2,0.2,0.08344173021501948,0.9757575541850574
306,2.0,0.0,0.2,0.2,0.0874686818485767,0.9739539295635027
307,2.0,0.1,0.2,0.2,0.0912373098772656,0.9708061813094129
308,2.0,0.2,0.2,0.15000000000000002,0.08818615156958898,0.9738442064892961
309,2.0,0.30000000000000004,0.2,0.15000000000000002,0.08175517320378213,0.9790620938330432
310,2.0,0.4,0.2,0.1,0.09957558761085254,0.9743757087501155
311,2.0,0.5,0.2,0.15000000000000002,0.086205309810155,0.9748725316364751
312,2.0,0.6000000000000001,0.2,0.15000000000000002,0.08173942435530418,0.9781634954304352
313,2.0,0.7000000000000001,0.2,0.15000000000000002,0.08653089271643961,0.9746640364457031
314,2.0,0.8,0.2,0.2,0.08193736845804239,0.9766561613554682
315,3.0,0.0,0.2,0.2,0.08428015262383724,0.9750568482139281
316,3.0,0.1,0.2,0.15000000000000002,0.08121458380478237,0.977983270520525
317,3.0,0.2,0.2,0.15000000000000002,0.08751987741528862,0.976601998757141
318,3.0,0.30000000000000004,0.2,0.2,0.08456389178433713,0.975653610084543
319,3.0,0.4,0.2,0.2,0.084972858304297,0.974983361878963
320,3.0,0.5,0.2,0.1,0.10560291034462858,0.9701327773302036
321,3.0,0.6000000000000001,0.2,0.2,0.0832321684552196,0.9763444467916998
322,3.0,0.7000000000000001,0.2,0.2,0.08775238285717613,0.9740351914031458
323,3.0,0.8,0.2,0.2,0.08216732176182992,0.9761581647029149
324,4.0,0.0,0.2,0.2,0.08282644541276891,0.9766847781505001
325,4.0,0.1,0.2,0.15000000000000002,0.08726484019478453,0.9744038261532922
